CountryCode,location,FirstDate,MissingDate,LastDate
EGY,"Egypt, Arab Rep.",12/31/2019,3/8/2020,6/19/2020
GUY,Guyana,3/13/2020,3/14/2020,6/19/2020
GUY,Guyana,3/13/2020,3/15/2020,6/19/2020
SVN,Slovenia,3/5/2020,3/10/2020,6/19/2020
TUN,Tunisia,3/3/2020,3/4/2020,6/19/2020
TUN,Tunisia,3/3/2020,3/5/2020,6/19/2020
TUN,Tunisia,3/3/2020,3/6/2020,6/19/2020
TUN,Tunisia,3/3/2020,3/7/2020,6/19/2020
TUN,Tunisia,3/3/2020,3/8/2020,6/19/2020
TUN,Tunisia,3/3/2020,3/9/2020,6/19/2020
MDA,Moldova,3/8/2020,3/9/2020,6/19/2020
MDA,Moldova,3/8/2020,3/10/2020,6/19/2020
IRL,Ireland,12/31/2019,3/3/2020,6/19/2020
IRL,Ireland,12/31/2019,3/10/2020,6/19/2020
LVA,Latvia,3/3/2020,3/4/2020,6/19/2020
LVA,Latvia,3/3/2020,3/5/2020,6/19/2020
LVA,Latvia,3/3/2020,3/6/2020,6/19/2020
LVA,Latvia,3/3/2020,3/7/2020,6/19/2020
GAB,Gabon,3/13/2020,3/14/2020,6/19/2020
GIN,Guinea,3/14/2020,3/16/2020,6/19/2020
THA,Thailand,12/31/2019,3/3/2020,6/19/2020
THA,Thailand,12/31/2019,3/4/2020,6/19/2020
THA,Thailand,12/31/2019,3/6/2020,6/19/2020
THA,Thailand,12/31/2019,3/8/2020,6/19/2020
THA,Thailand,12/31/2019,3/9/2020,6/19/2020
THA,Thailand,12/31/2019,3/10/2020,6/19/2020
THA,Thailand,12/31/2019,3/13/2020,6/19/2020
DOM,Dominican Republic,12/31/2019,3/3/2020,6/19/2020
DOM,Dominican Republic,12/31/2019,3/4/2020,6/19/2020
DOM,Dominican Republic,12/31/2019,3/5/2020,6/19/2020
DOM,Dominican Republic,12/31/2019,3/6/2020,6/19/2020
DOM,Dominican Republic,12/31/2019,3/8/2020,6/19/2020
DOM,Dominican Republic,12/31/2019,3/9/2020,6/19/2020
DOM,Dominican Republic,12/31/2019,3/11/2020,6/19/2020
DOM,Dominican Republic,12/31/2019,3/12/2020,6/19/2020
DOM,Dominican Republic,12/31/2019,3/13/2020,6/19/2020
LUX,Luxembourg,12/31/2019,3/3/2020,6/19/2020
LUX,Luxembourg,12/31/2019,3/4/2020,6/19/2020
LUX,Luxembourg,12/31/2019,3/5/2020,6/19/2020
LUX,Luxembourg,12/31/2019,3/6/2020,6/19/2020
LUX,Luxembourg,12/31/2019,3/8/2020,6/19/2020
LUX,Luxembourg,12/31/2019,3/10/2020,6/19/2020
LUX,Luxembourg,12/31/2019,3/15/2020,6/19/2020
BTN,Bhutan,3/6/2020,3/7/2020,6/19/2020
BTN,Bhutan,3/6/2020,3/8/2020,6/19/2020
BTN,Bhutan,3/6/2020,3/9/2020,6/19/2020
BTN,Bhutan,3/6/2020,3/10/2020,6/19/2020
BTN,Bhutan,3/6/2020,3/11/2020,6/19/2020
BTN,Bhutan,3/6/2020,3/12/2020,6/19/2020
BTN,Bhutan,3/6/2020,3/14/2020,6/19/2020
BTN,Bhutan,3/6/2020,3/16/2020,6/19/2020
MAR,Morocco,3/3/2020,3/4/2020,6/19/2020
MAR,Morocco,3/3/2020,3/5/2020,6/19/2020
MAR,Morocco,3/3/2020,3/7/2020,6/19/2020
MAR,Morocco,3/3/2020,3/8/2020,6/19/2020
MAR,Morocco,3/3/2020,3/9/2020,6/19/2020
MAR,Morocco,3/3/2020,3/10/2020,6/19/2020
MAR,Morocco,3/3/2020,3/11/2020,6/19/2020
GEO,Georgia,12/31/2019,3/3/2020,6/19/2020
GEO,Georgia,12/31/2019,3/4/2020,6/19/2020
GEO,Georgia,12/31/2019,3/7/2020,6/19/2020
OMN,Oman,12/31/2019,3/4/2020,6/19/2020
OMN,Oman,12/31/2019,3/7/2020,6/19/2020
OMN,Oman,12/31/2019,3/8/2020,6/19/2020
OMN,Oman,12/31/2019,3/9/2020,6/19/2020
OMN,Oman,12/31/2019,3/12/2020,6/19/2020
OMN,Oman,12/31/2019,3/13/2020,6/19/2020
TUR,Turkey,3/12/2020,3/14/2020,6/19/2020
TUR,Turkey,3/12/2020,3/15/2020,6/19/2020
VIR,Virgin Islands (U.S.),3/24/2020,3/31/2020,6/19/2020
BGD,Bangladesh,3/9/2020,3/10/2020,6/19/2020
BGD,Bangladesh,3/9/2020,3/11/2020,6/19/2020
BGD,Bangladesh,3/9/2020,3/12/2020,6/19/2020
BGD,Bangladesh,3/9/2020,3/13/2020,6/19/2020
BGD,Bangladesh,3/9/2020,3/14/2020,6/19/2020
BGD,Bangladesh,3/9/2020,3/16/2020,6/19/2020
GHA,Ghana,3/13/2020,3/14/2020,6/19/2020
PAK,Pakistan,12/31/2019,3/3/2020,6/19/2020
PAK,Pakistan,12/31/2019,3/5/2020,6/19/2020
PAK,Pakistan,12/31/2019,3/6/2020,6/19/2020
PAK,Pakistan,12/31/2019,3/8/2020,6/19/2020
PAK,Pakistan,12/31/2019,3/9/2020,6/19/2020
ROU,Romania,12/31/2019,3/3/2020,6/19/2020
ROU,Romania,12/31/2019,3/5/2020,6/19/2020
COL,Colombia,3/7/2020,3/8/2020,6/19/2020
COL,Colombia,3/7/2020,3/9/2020,6/19/2020
COL,Colombia,3/7/2020,3/11/2020,6/19/2020
