"MonitorDate","Country","CaseCount","DeathCount","PeriodToDateCaseCount","PeriodToDateDeathCount","Population","CountryCode","Source"
"4/14/2021 12:00:00 AM","Trinidad and Tobago","85","2","8596","148","1389858","TTO","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Tunisia","2123","84","276727","9480","11565204","TUN","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Turkey","62797","279","4025557","34734","82319724","TUR","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Uganda","33","1","41237","338","42723139","UGA","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Ukraine","14677","473","1939901","39950","44622516","UKR","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","United Arab Emirates","1798","4","489495","1541","9630959","ARE","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","United Kingdom","2529","38","4393330","127407","66488991","GBR","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","United States","75375","956","31421360","564402","327167434","USA","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Uruguay","2659","52","152089","1647","3449299","URY","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Uzbekistan","212","0","85503","634","32955400","UZB","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Venezuela, RB","1122","19","178094","1834","28870195","VEN","Covid19DataVault"
"4/14/2021 12:00:00 AM","Vietnam","19","0","2733","35","95540395","VNM","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Yemen, Rep.","75","10","5582","1083","28498687","YEM","Covid19DataVault"
"4/14/2021 12:00:00 AM","Zambia","171","0","90389","1229","17351822","ZMB","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Zimbabwe","39","5","37369","1548","14439018","ZWE","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Comoros","7","0","3803","146","832322","COM","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Lesotho","0","0","10709","315","2108132","LSO","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Tajikistan","0","0","13308","90","9100837","TJK","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
