"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"BWA","Africa","Botswana","2021-11-10","193449.0","0.0","881.143","2409.0","0.0","0.286","80696.551","0.0","367.566","1004.906","0.0","0.119","","","","","","","","","","","2397240.0","4.044","25.8","3.941","2.242","15807.374","","237.372","4.81","5.7","34.4","","","69.59"
"BWA","Africa","Botswana","2021-11-11","193701.0","252.0","917.143","2411.0","2.0","0.571","80801.672","105.121","382.583","1005.74","0.834","0.238","","","","","","","","","","","2397240.0","4.044","25.8","3.941","2.242","15807.374","","237.372","4.81","5.7","34.4","","","69.59"
"BWA","Africa","Botswana","2021-11-12","193701.0","0.0","109.429","2411.0","0.0","0.571","80801.672","0.0","45.648","1005.74","0.0","0.238","","","","","","","","","","","2397240.0","4.044","25.8","3.941","2.242","15807.374","","237.372","4.81","5.7","34.4","","","69.59"
"BRA","South America","Brazil","2021-11-10","21909298.0","12273.0","10501.857","610036.0","280.0","257.286","102383.035","57.352","49.076","2850.723","1.308","1.202","","","","","","","","","","","213993441.0","25.04","33.5","8.552","5.06","14103.452","3.4","177.961","8.11","10.1","17.9","","","75.88"
"BRA","South America","Brazil","2021-11-11","21924598.0","15300.0","10780.143","610224.0","188.0","221.857","102454.533","71.498","50.376","2851.601","0.879","1.037","","","","","","","","","","","213993441.0","25.04","33.5","8.552","5.06","14103.452","3.4","177.961","8.11","10.1","17.9","","","75.88"
"BRA","South America","Brazil","2021-11-12","21939196.0","14598.0","10962.571","610491.0","267.0","204.429","102522.75","68.217","51.229","2852.849","1.248","0.955","","","","","","","","","","","213993441.0","25.04","33.5","8.552","5.06","14103.452","3.4","177.961","8.11","10.1","17.9","","","75.88"
"BRN","Asia","Brunei","2021-11-10","13962.0","98.0","73.714","93.0","0.0","0.571","31621.717","221.954","166.951","210.63","0.0","1.294","","","","","","","","","","79.63","441532.0","81.347","32.4","4.591","2.382","71809.251","","201.285","12.79","2.0","30.9","","","75.86"
"BRN","Asia","Brunei","2021-11-11","14058.0","96.0","73.286","95.0","2.0","0.571","31839.142","217.425","165.981","215.16","4.53","1.294","","","","","","","","","","","441532.0","81.347","32.4","4.591","2.382","71809.251","","201.285","12.79","2.0","30.9","","","75.86"
"BRN","Asia","Brunei","2021-11-12","14121.0","63.0","82.286","95.0","0.0","0.571","31981.827","142.685","186.364","215.16","0.0","1.294","","","","","","","","","","","441532.0","81.347","32.4","4.591","2.382","71809.251","","201.285","12.79","2.0","30.9","","","75.86"
"BDI","Africa","Burundi","2021-11-10","20200.0","30.0","13.429","38.0","0.0","0.0","1648.249","2.448","1.096","3.101","0.0","0.0","","","","","","","","","","","12255429.0","423.062","17.5","2.562","1.504","702.225","71.7","293.068","6.05","","","6.144","","61.58"
"BDI","Africa","Burundi","2021-11-11","20210.0","10.0","14.857","38.0","0.0","0.0","1649.065","0.816","1.212","3.101","0.0","0.0","","","","","","","","","","","12255429.0","423.062","17.5","2.562","1.504","702.225","71.7","293.068","6.05","","","6.144","","61.58"
"BGR","Europe","Bulgaria","2021-11-10","646856.0","3853.0","3938.857","25754.0","199.0","166.429","93792.715","558.677","571.126","3734.274","28.855","24.132","","","","","35057.0","5.083","8.9","0.112","tests performed","","6896655.0","65.18","44.7","20.801","13.272","18563.307","1.5","424.688","5.81","30.1","44.4","","","75.05"
"BGR","Europe","Bulgaria","2021-11-11","650063.0","3207.0","3731.0","25950.0","196.0","170.714","94257.723","465.008","540.987","3762.694","28.42","24.753","","","","","31945.0","4.632","8.6","0.117","tests performed","","6896655.0","65.18","44.7","20.801","13.272","18563.307","1.5","424.688","5.81","30.1","44.4","","","75.05"
