"collection_date","location","iso_code","total_vaccinations","total_vaccinations_per_hundred","daily_vaccinations_raw","daily_vaccinations","daily_vaccinations_per_million","people_vaccinated","people_fully_vaccinated","people_fully_vaccinated_per_hundred","source"
"2021-04-16 00:00:00.0000000","Serbia","SRB","3041740","44.700","21339","29390","4319.000","1820747","1220993","17.940","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Slovakia","SVK","1269305","23.250","27418","21658","3967.000","925101","344204","6.300","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Slovenia","SVN","510596","24.560","13096","8605","4139.000","368446","142150","6.840","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","South Korea","KOR","1543546","3.010","103322","48009","936.000","1482969","60577","0.120","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Spain","ESP","12330755","26.370","445670","299847","6413.000","9002054","3328701","7.120","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Suriname","SUR","34630","5.900","","288","491.000","34630","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Sweden","SWE","2316903","22.940","74444","56019","5547.000","1667542","649361","6.430","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Thailand","THA","605259","0.870","19227","9697","139.000","523830","81429","0.120","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Turkey","TUR","19811774","23.490","366505","213056","2526.000","12038403","7773371","9.220","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Ukraine","UKR","445864","1.020","13044","10408","238.000","445859","5","0.000","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","United Arab Emirates","ARE","9489684","95.950","102340","80877","8177.000","","","","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","United States","USA","202282923","60.480","3965883","3349306","10015.000","127743096","80609818","24.100","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Uruguay","URY","1310591","37.730","60807","44640","12851.000","1025979","284612","8.190","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
"2021-04-16 00:00:00.0000000","Zimbabwe","ZWE","304701","2.050","18820","14071","947.000","269732","34969","0.240","https://raw.githubusercontent.com/owid/covid-19-data/master/public/data/vaccinations/vaccinations.csv"
