"monitor_date","county_name","state_name","region","subregion","fips","latitude","longitude","case_count_to_date","death_count_to_date","case_count","death_count","previous_monitor_date","population_year","population","source"
"5/1/2021 12:00:00 AM","Marion County","Mississippi","South","East South Central","28091","31.230167","-89.821712 ","2684","80","0","0","4/30/2021 12:00:00 AM","2019","24573","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Hawkins County","Tennessee","South","East South Central","47073","36.452089","-82.931485 ","5973","107","0","0","4/30/2021 12:00:00 AM","2019","56786","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Brule County","South Dakota","Midwest","West North Central","46015","43.729873","-99.092909 ","712","9","0","0","4/30/2021 12:00:00 AM","2019","5297","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Sevier County","Utah","West","Mountain","49041","38.746824","-111.81193 ","2181","14","0","0","4/30/2021 12:00:00 AM","2019","21620","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Jerome County","Idaho","West","Mountain","16053","42.691395","-114.262086 ","2587","23","0","0","4/30/2021 12:00:00 AM","2019","24412","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Boone County","Indiana","Midwest","East North Central","18011","40.050892","-86.469014 ","6657","105","10","0","4/30/2021 12:00:00 AM","2019","67843","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Chambers County","Texas","South","West South Central","48071","29.696374","-94.669445 ","4933","49","0","0","4/30/2021 12:00:00 AM","2019","43837","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Martin County","Kentucky","South","East South Central","21159","37.796774","-82.506623 ","1025","20","0","0","4/30/2021 12:00:00 AM","2019","11195","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Adams County","Illinois","Midwest","East North Central","17001","39.986052","-91.194961 ","8325","148","3","0","4/30/2021 12:00:00 AM","2019","65435","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Taylor County","Wisconsin","Midwest","East North Central","55119","45.211656","-90.504853 ","2095","32","1","0","4/30/2021 12:00:00 AM","2019","20343","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Wirt County","West Virginia","South","South Atlantic","54105","39.020034","-81.382975 ","400","3","3","0","4/30/2021 12:00:00 AM","2019","5821","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Cooke County","Texas","South","West South Central","48097","33.639196","-97.210343 ","3704","72","4","1","4/30/2021 12:00:00 AM","2019","41257","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Nevada County","Arkansas","South","West South Central","05099","33.666699","-93.305072 ","821","24","1","0","4/30/2021 12:00:00 AM","2019","8252","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Sharp County","Arkansas","South","West South Central","05135","36.173399","-91.471069 ","1592","45","2","0","4/30/2021 12:00:00 AM","2019","17442","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Nicholas County","Kentucky","South","East South Central","21181","38.338031","-84.026223 ","541","8","0","0","4/30/2021 12:00:00 AM","2019","7269","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Lawrence County","Alabama","South","East South Central","01079","34.529776","-87.321865 ","2994","98","2","1","4/30/2021 12:00:00 AM","2019","32924","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Greene County","Indiana","Midwest","East North Central","18055","39.047147","-87.004771 ","2755","89","2","0","4/30/2021 12:00:00 AM","2019","31922","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Brookings County","South Dakota","Midwest","West North Central","46011","44.376675","-96.797797 ","4184","37","0","0","4/30/2021 12:00:00 AM","2019","35077","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Middlesex County","Massachusetts","Northeast","New England","25017","42.481718","-71.394916 ","132458","3721","210","1","4/30/2021 12:00:00 AM","2019","1611699","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Clay County","Missouri","Midwest","West North Central","29047","39.315551","-94.421502 ","10242","164","0","0","4/30/2021 12:00:00 AM","2019","249948","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Orleans Parish","Louisiana","South","West South Central","22071","30.05342","-89.934502 ","29878","792","0","0","4/30/2021 12:00:00 AM","2019","390144","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Hardin County","Kentucky","South","East South Central","21093","37.695836","-85.963183 ","9618","154","17","0","4/30/2021 12:00:00 AM","2019","110958","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Warren County","New York","Northeast","Middle Atlantic","36113","43.555105","-73.838139 ","3488","57","6","0","4/30/2021 12:00:00 AM","2019","63944","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Beckham County","Oklahoma","South","West South Central","40009","35.270601","-99.690057 ","2892","54","0","0","4/30/2021 12:00:00 AM","2019","21859","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Cherokee County","South Carolina","South","South Atlantic","45021","35.049796","-81.607647 ","6001","152","16","0","4/30/2021 12:00:00 AM","2019","57300","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Richland County","South Carolina","South","South Atlantic","45079","34.029095","-80.898037 ","46053","546","116","1","4/30/2021 12:00:00 AM","2019","415759","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Westmoreland County","Virginia","South","South Atlantic","51193","38.109311","-76.803933 ","1265","24","4","0","4/30/2021 12:00:00 AM","2019","18015","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Monroe County","Indiana","Midwest","East North Central","18105","39.160729","-86.52331 ","11767","169","36","0","4/30/2021 12:00:00 AM","2019","148431","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Huntington County","Indiana","Midwest","East North Central","18069","40.826394","-85.478597 ","3854","82","2","0","4/30/2021 12:00:00 AM","2019","36520","NYTIMES-USCENSUS"
