"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"LTU","Europe","Lithuania","2020-04-01","512.0","44.0","43.429","6.0","2.0","0.571","188.077","16.163","15.953","2.204","0.735","0.21","2293.0","11156.0","4.098","0.842","1290.0","0.474","27.8","0.036","tests performed","81.48","2722291.0","45.135","43.5","19.002","13.778","29524.265","0.7","342.989","3.67","21.3","38.0","","","75.93"
"LUX","Europe","Luxembourg","2020-04-01","2319.0","141.0","140.857","29.0","6.0","3.0","3704.615","225.248","225.02","46.328","9.585","4.793","1180.0","17601.0","28.118","1.885","1424.0","2.275","10.1","0.099","tests performed","79.63","625976.0","231.447","39.7","14.312","9.842","94277.965","0.2","128.275","4.42","20.9","26.0","","","82.25"
"MYS","Asia","Malaysia","2020-04-01","2908.0","142.0","158.857","45.0","2.0","3.571","89.847","4.387","4.908","1.39","0.062","0.11","3538.0","35802.0","1.106","0.109","2855.0","0.088","18.0","0.056","people tested","73.15","32365998.0","96.254","29.9","6.293","3.407","26808.164","0.1","260.942","16.74","1.0","42.4","","","76.16"
"MRT","Africa","Mauritania","2020-04-01","6.0","0.0","0.571","1.0","0.0","0.143","1.29","0.0","0.123","0.215","0.0","0.031","","63.0","0.014","","","","","","tests performed","77.78","4649660.0","4.289","20.3","3.138","1.792","3597.633","6.0","232.347","2.42","","","15.95","","64.92"
"MLI","Africa","Mali","2020-04-01","31.0","3.0","4.143","3.0","1.0","0.429","1.531","0.148","0.205","0.148","0.049","0.021","","","","","","","","","","75.0","20250834.0","15.196","16.4","2.519","1.486","2014.306","","268.024","2.42","1.6","23.0","52.232","","59.31"
"MUS","Africa","Mauritius","2020-04-01","161.0","18.0","16.143","6.0","1.0","0.571","126.596","14.154","12.693","4.718","0.786","0.449","","","","","","","","","","82.41","1271767.0","622.962","37.4","10.945","5.884","20292.745","0.5","224.644","22.02","3.2","40.7","","","74.99"
"MEX","North America","Mexico","2020-04-01","1378.0","163.0","129.0","37.0","8.0","4.429","10.688","1.264","1.001","0.287","0.062","0.034","1615.0","31928.0","0.248","0.013","1333.0","0.01","5.1","0.195","people tested","82.41","128932753.0","66.444","29.3","6.857","4.321","17336.469","2.5","152.783","13.06","6.9","21.4","87.847","","75.05"
"MMR","Asia","Myanmar","2020-04-01","15.0","0.0","2.143","1.0","0.0","0.143","0.276","0.0","0.039","0.018","0.0","0.003","","","","","","","","","","65.74","54409794.0","81.721","29.1","5.732","3.12","5591.597","6.4","202.104","4.61","6.3","35.2","79.287","","67.13"
"MDA","Europe","Moldova","2020-04-01","423.0","70.0","39.143","5.0","1.0","0.571","104.86","17.353","9.703","1.239","0.248","0.142","","","","","","","","","","87.04","4033963.0","123.655","37.6","10.864","6.955","5189.972","0.2","408.502","5.72","5.9","44.6","86.979","","71.9"
"MNE","Europe","Montenegro","2020-04-01","123.0","14.0","10.143","2.0","0.0","0.143","195.841","22.291","16.149","3.184","0.0","0.227","","","","","","","","","","","628062.0","46.28","39.1","14.762","9.395","16409.288","1.0","387.305","10.08","44.0","47.9","","","76.88"
