"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"CUW","North America","Curacao","8/1/2021 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","164100.000","362.644","41.700","16.367","10.068","","","","11.620","","","","","78.880"
"FRO","Europe","Faeroe Islands","8/1/2021 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","41.670","48865.000","35.308","","","","","","","","","","","","80.670"
"FJI","Oceania","Fiji","8/1/2021 12:00:00 AM","30413.000","632.000","1039.143","241.000","3.000","7.857","33926.269","705.008","1159.183","268.840","3.347","8.765","","","","","","","","","","","896444.000","49.562","28.600","6.224","3.284","8702.975","1.400","412.820","14.490","10.200","34.800","","","67.440"
"LAO","Asia","Laos","8/1/2021 12:00:00 AM","6566.000","267.000","257.714","7.000","0.000","0.286","902.474","36.698","35.422","0.962","0.000","0.039","","","","","","","","","","","7275556.000","29.715","24.400","4.029","2.322","6397.360","22.700","368.111","4.000","7.300","51.200","49.839","","67.920"
"ITA","Europe","Italy","8/1/2021 12:00:00 AM","4355348.000","5320.000","5419.000","128068.000","5.000","17.000","72034.673","87.989","89.627","2118.163","0.083","0.281","","","","","","","","","","","60461828.000","205.859","47.900","23.021","16.240","35220.084","2.000","113.151","4.780","19.800","27.800","","","83.510"
"BGD","Asia","Bangladesh","8/1/2021 12:00:00 AM","1264328.000","14844.000","14241.857","20916.000","231.000","234.571","7677.046","90.133","86.477","127.003","1.403","1.424","","","","","","","","","","","164689383.000","1265.036","27.500","5.098","3.262","3523.984","14.800","298.003","8.380","1.000","44.700","34.808","","72.590"
"URY","South America","Uruguay","8/1/2021 12:00:00 AM","381569.000","52.000","162.571","5966.000","2.000","5.000","109844.268","14.970","46.800","1717.464","0.576","1.439","","","","","","","","","","","3473727.000","19.751","35.600","14.655","10.361","20551.409","0.100","160.708","6.930","14.000","19.900","","","77.910"
"GNQ","Africa","Equatorial Guinea","8/1/2021 12:00:00 AM","8880.000","0.000","2.429","123.000","0.000","0.000","6329.362","0.000","1.731","87.670","0.000","0.000","","","","","","","","","","","1402985.000","45.194","22.400","2.846","1.752","22604.873","","202.812","7.780","","","24.640","","58.740"
"CUB","North America","Cuba","8/1/2021 12:00:00 AM","394343.000","9747.000","8767.857","2845.000","87.000","70.571","34815.606","860.539","774.093","251.178","7.681","6.231","","","","","","","","","","","11326616.000","110.408","43.100","14.738","9.719","","","190.968","8.270","17.100","53.300","85.198","","78.800"
"BLZ","North America","Belize","8/1/2021 12:00:00 AM","14163.000","0.000","35.143","337.000","0.000","0.714","35619.346","0.000","88.383","847.541","0.000","1.796","","","","","","","","","","63.890","397621.000","16.426","25.000","3.853","2.279","7824.362","","176.957","17.110","","","90.083","","74.620"
"HND","North America","Honduras","8/1/2021 12:00:00 AM","297111.000","0.000","1496.571","7834.000","0.000","34.286","29997.250","0.000","151.099","790.945","0.000","3.462","","","","","","","","","","","9904608.000","82.805","24.900","4.652","2.883","4541.795","16.000","240.208","7.210","2.000","","84.169","","75.270"
"NZL","Oceania","New Zealand","8/1/2021 12:00:00 AM","2878.000","4.000","2.000","26.000","0.000","0.000","596.819","0.829","0.415","5.392","0.000","0.000","","","","","","","","","","","4822233.000","18.206","37.900","15.322","9.720","36085.843","","128.797","8.080","14.800","17.200","","","82.290"
"MAR","Africa","Morocco","8/1/2021 12:00:00 AM","629717.000","6189.000","7206.429","9833.000","48.000","34.857","17060.620","167.676","195.240","266.401","1.300","0.944","","","","","","","","","","","36910558.000","80.080","29.600","6.769","4.209","7485.013","1.000","419.146","7.140","0.800","47.100","","","76.680"
"SEN","Africa","Senegal","8/1/2021 12:00:00 AM","63002.000","712.000","819.857","1367.000","14.000","12.286","3762.677","42.523","48.964","81.642","0.836","0.734","","","","","","","","","","","16743930.000","82.328","18.700","3.008","1.796","2470.580","38.000","241.219","2.420","0.400","16.600","20.859","","67.940"
"NLD","Europe","Netherlands","8/1/2021 12:00:00 AM","1897729.000","2386.000","3596.286","18117.000","3.000","4.429","110752.440","139.248","209.881","1057.317","0.175","0.258","","","","","","","","","","","17134873.000","508.544","43.200","18.779","11.881","48472.545","","109.361","5.290","24.400","27.300","","","82.280"
"CMR","Africa","Cameroon","8/1/2021 12:00:00 AM","82064.000","0.000","8.714","1334.000","0.000","0.000","3091.404","0.000","0.328","50.253","0.000","0.000","","","","","","","","","","","26545864.000","50.885","18.800","3.165","1.919","3364.926","23.800","244.661","7.200","","","2.735","","59.290"
"TLS","Asia","Timor","8/1/2021 12:00:00 AM","10966.000","68.000","88.286","26.000","0.000","0.000","8317.393","51.576","66.962","19.720","0.000","0.000","","","","","","","","","","64.350","1318442.000","87.176","18.000","3.556","1.897","6570.102","30.300","335.346","6.860","6.300","78.100","28.178","","69.500"
"RUS","Europe","Russia","8/1/2021 12:00:00 AM","6207513.000","22264.000","22614.000","156726.000","774.000","767.714","42536.307","152.562","154.960","1073.948","5.304","5.261","","","","","","","","","","","145934460.000","8.823","39.600","14.178","9.393","24765.954","0.100","431.297","6.180","23.400","58.300","","","72.580"
"COD","Africa","Democratic Republic of Congo","8/1/2021 12:00:00 AM","49917.000","0.000","255.571","1038.000","0.000","2.143","557.349","0.000","2.854","11.590","0.000","0.024","","","","","","","","","","","89561404.000","35.879","17.000","3.020","1.745","808.133","77.100","318.949","6.100","","","4.472","","60.680"
"SWZ","Africa","Eswatini","8/1/2021 12:00:00 AM","26220.000","241.000","459.286","798.000","11.000","6.571","22600.253","207.729","395.880","687.834","9.481","5.664","","","","","","","","","","","1160164.000","79.492","21.500","3.163","1.845","7738.975","","333.436","3.940","1.700","16.500","24.097","","60.190"
"GBR","Europe","United Kingdom","8/1/2021 12:00:00 AM","5907594.000","24173.000","26313.571","130014.000","65.000","81.143","87022.268","356.082","387.614","1915.181","0.957","1.195","","","","","","","","","","","67886004.000","272.898","40.800","18.517","12.527","39753.244","0.200","122.137","4.280","20.000","24.700","","","81.320"
"GMB","Africa","Gambia","8/1/2021 12:00:00 AM","7709.000","0.000","53.714","212.000","0.000","0.571","3189.935","0.000","22.227","87.724","0.000","0.236","","","","","","","","","","","2416664.000","207.566","17.500","2.339","1.417","1561.767","10.100","331.430","1.910","0.700","31.200","7.876","","62.050"
"BTN","Asia","Bhutan","8/1/2021 12:00:00 AM","2518.000","3.000","4.571","2.000","0.000","0.000","3263.298","3.888","5.925","2.592","0.000","0.000","","","","","","","","","","","771612.000","21.188","28.600","4.885","2.977","8708.597","1.500","217.066","9.750","","","79.807","","71.780"
"UZB","Asia","Uzbekistan","8/1/2021 12:00:00 AM","130216.000","889.000","846.571","880.000","6.000","6.857","3890.622","26.562","25.294","26.293","0.179","0.205","","","","","","","","","","","33469199.000","76.134","28.200","4.469","2.873","6253.104","","724.417","7.570","1.300","24.700","","","71.720"
"DJI","Africa","Djibouti","8/1/2021 12:00:00 AM","11652.000","1.000","2.429","156.000","0.000","0.143","11793.498","1.012","2.458","157.894","0.000","0.145","","","","","","","","","","","988002.000","41.285","25.400","4.213","2.380","2705.406","22.500","258.037","6.050","1.700","24.500","","","67.110"
