"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"NZL","Oceania","New Zealand","7/1/2022 12:00:00 AM","1352688.000","6892.000","6987.000","1494.000","21.000","12.857","263872.189","1344.439","1362.971","291.438","4.097","2.508","","","","","","","","","","","5126300.000","18.206","37.900","15.322","9.720","36085.843","","128.797","8.080","14.800","17.200","","","82.290"
"GTM","North America","Guatemala","7/1/2022 12:00:00 AM","915321.000","4607.000","3178.571","18572.000","11.000","14.714","50154.938","252.440","174.170","1017.651","0.603","0.806","","","","","","","","","","","18249868.000","157.834","22.900","4.694","3.016","7423.808","8.700","155.898","10.180","","","76.665","","74.300"
"BTN","Asia","Bhutan","7/1/2022 12:00:00 AM","59729.000","0.000","7.857","21.000","0.000","0.000","76585.460","0.000","10.075","26.927","0.000","0.000","","","","","","","","","","","779900.000","21.188","28.600","4.885","2.977","8708.597","1.500","217.066","9.750","","","79.807","","71.780"
"MDG","Africa","Madagascar","7/1/2022 12:00:00 AM","65381.000","","","1398.000","0.000","0.000","2299.934","","","49.178","0.000","0.000","","","","","","","","","","","28427333.000","43.951","19.600","2.929","1.686","1416.440","77.600","405.994","3.940","","","50.540","","67.040"
"HTI","North America","Haiti","7/1/2022 12:00:00 AM","31603.000","53.000","50.714","837.000","0.000","0.000","2738.162","4.592","4.394","72.520","0.000","0.000","","","","","","","","","","","11541683.000","398.448","24.300","4.800","2.954","1653.173","23.500","430.548","6.650","2.900","23.100","22.863","","64.000"
"IMN","Europe","Isle of Man","7/1/2022 12:00:00 AM","36463.000","","","108.000","0.000","0.000","426917.223","","","1264.489","0.000","0.000","","","","","","","","","","","85410.000","147.872","","","","","","","","","","","","81.400"
"OMN","Asia","Oman","7/1/2022 12:00:00 AM","390244.000","0.000","0.000","4628.000","0.000","0.000","74711.068","0.000","0.000","886.017","0.000","0.000","","","","","","","","","","","5223376.000","14.980","30.700","2.355","1.530","37960.709","","266.342","12.610","0.500","15.600","97.400","","77.860"
"MRT","Africa","Mauritania","7/1/2022 12:00:00 AM","59970.000","156.000","81.286","983.000","0.000","0.143","12558.873","32.669","17.023","205.859","0.000","0.030","","","","","","","","","","","4775110.000","4.289","20.300","3.138","1.792","3597.633","6.000","232.347","2.420","","","15.950","","64.920"
"SWZ","Africa","Eswatini","7/1/2022 12:00:00 AM","73131.000","22.000","8.857","1416.000","0.000","0.143","62378.824","18.765","7.555","1207.811","0.000","0.122","","","","","","","","","","","1172369.000","79.492","21.500","3.163","1.845","7738.975","","333.436","3.940","1.700","16.500","24.097","","60.190"
"GNB","Africa","Guinea-Bissau","7/1/2022 12:00:00 AM","8369.000","21.000","3.000","171.000","0.000","0.000","4152.340","10.419","1.488","84.843","0.000","0.000","","","","","","","","","","","2015490.000","66.191","19.400","3.002","1.565","1548.675","67.100","382.474","2.420","","","6.403","","58.320"
"MLI","Africa","Mali","7/1/2022 12:00:00 AM","31169.000","4.000","2.714","737.000","0.000","0.143","1494.506","0.192","0.130","35.338","0.000","0.007","","","","","","","","","","","20855724.000","15.196","16.400","2.519","1.486","2014.306","","268.024","2.420","1.600","23.000","52.232","","59.310"
"CZE","Europe","Czechia","7/1/2022 12:00:00 AM","3935058.000","1300.000","894.429","40321.000","3.000","1.143","366920.467","121.217","83.400","3759.690","0.280","0.107","","","","","","","","","","","10724553.000","137.176","43.300","19.027","11.580","32605.906","","227.485","6.820","30.500","38.300","","","79.380"
"AIA","North America","Anguilla","7/1/2022 12:00:00 AM","3456.000","0.000","6.429","9.000","0.000","0.000","228495.868","0.000","425.030","595.041","0.000","0.000","","","","","","","","","","","15125.000","","","","","","","","","","","","","81.880"
"BIH","Europe","Bosnia and Herzegovina","7/1/2022 12:00:00 AM","378797.000","81.000","54.857","15806.000","0.000","1.000","116072.241","24.820","16.810","4843.327","0.000","0.306","","","","","","","","","","","3263459.000","68.496","42.500","16.569","10.711","11713.895","0.200","329.635","10.080","30.200","47.700","97.164","","77.400"
"THA","Asia","Thailand","7/1/2022 12:00:00 AM","4527777.000","2508.000","2605.143","30681.000","17.000","17.429","64727.982","35.854","37.242","438.608","0.243","0.249","","","","","","","","","","","69950844.000","135.132","40.100","11.373","6.890","16277.671","0.100","109.861","7.040","1.900","38.800","90.670","","77.150"
"QAT","Asia","Qatar","7/1/2022 12:00:00 AM","383292.000","657.000","639.143","679.000","0.000","0.143","130792.991","224.192","218.098","231.699","0.000","0.049","","","","","","","","","","","2930524.000","227.322","31.900","1.307","0.617","116935.600","","176.690","16.520","0.800","26.900","","","80.230"
