"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"FRA","Europe","France","11/1/2022 12:00:00 AM","36875772.000","63.000","21009.571","157063.000","","","543786.177","0.929","309.816","2316.119","","","","","","","","","","","","","67813000.000","122.578","42.000","19.718","13.079","38605.671","","86.060","4.770","30.100","35.600","","","82.660"
"MLT","Europe","Malta","11/1/2022 12:00:00 AM","115372.000","23.000","18.429","808.000","0.000","0.000","216338.861","43.128","34.556","1515.115","0.000","0.000","","","","","","","","","","11.110","533293.000","1454.037","42.400","19.426","11.324","36513.323","0.200","168.711","8.830","20.900","30.200","","","82.530"
"ISL","Europe","Iceland","11/1/2022 12:00:00 AM","206571.000","215.000","30.714","219.000","6.000","0.857","553953.709","576.557","82.365","587.284","16.090","2.299","","","","","","","","","","","372903.000","3.404","37.300","14.431","9.207","46482.958","0.200","117.992","5.310","14.300","15.200","","","82.990"
"HTI","North America","Haiti","11/1/2022 12:00:00 AM","33811.000","0.000","6.714","857.000","0.000","0.000","2918.515","0.000","0.580","73.975","0.000","0.000","","","","","","","","","","","11585003.000","398.448","24.300","4.800","2.954","1653.173","23.500","430.548","6.650","2.900","23.100","22.863","","64.000"
"BRN","Asia","Brunei","11/1/2022 12:00:00 AM","237656.000","0.000","0.000","225.000","0.000","0.000","529298.310","0.000","0.000","501.111","0.000","0.000","","","","","","","","","","","449002.000","81.347","32.400","4.591","2.382","71809.251","","201.285","12.790","2.000","30.900","","","75.860"
"DEU","Europe","Germany","11/1/2022 12:00:00 AM","35649648.000","29961.000","38090.429","153814.000","120.000","116.714","427608.449","359.375","456.885","1844.960","1.439","1.400","","","","","","","","","","23.150","83369840.000","237.016","46.600","21.453","15.957","45229.245","","156.139","8.310","28.200","33.100","","","81.330"
"GBR","Europe","United Kingdom","11/1/2022 12:00:00 AM","23898489.000","","","209208.000","0.000","0.000","354004.824","","","3098.968","0.000","0.000","","","","","","","","","","","67508936.000","272.898","40.800","18.517","12.527","39753.244","0.200","122.137","4.280","20.000","24.700","","","81.320"
"MNE","Europe","Montenegro","11/1/2022 12:00:00 AM","282843.000","79.000","62.857","2786.000","0.000","0.143","451046.275","125.980","100.238","4442.800","0.000","0.228","","","","","","","","","","","627082.000","46.280","39.100","14.762","9.395","16409.288","1.000","387.305","10.080","44.000","47.900","","","76.880"
"ABW","North America","Aruba","11/1/2022 12:00:00 AM","43334.000","0.000","6.143","232.000","0.000","0.000","407048.723","0.000","57.702","2179.243","0.000","0.000","","","","","","","","","","","106459.000","584.800","41.200","13.085","7.452","35973.781","","","11.620","","","","","76.290"
"LTU","Europe","Lithuania","11/1/2022 12:00:00 AM","1268633.000","587.000","378.286","9393.000","0.000","1.000","461311.361","213.450","137.556","3415.564","0.000","0.364","","","","","","","","","","","2750058.000","45.135","43.500","19.002","13.778","29524.265","0.700","342.989","3.670","21.300","38.000","","","75.930"
"IRN","Asia","Iran","11/1/2022 12:00:00 AM","7557805.000","155.000","135.857","144580.000","4.000","3.571","85350.158","1.750","1.534","1632.739","0.045","0.040","","","","","","","","","","","88550568.000","49.831","32.400","5.440","3.182","19082.620","0.200","270.308","9.590","0.800","21.100","","","76.680"
"LKA","Asia","Sri Lanka","11/1/2022 12:00:00 AM","671110.000","23.000","13.571","16781.000","1.000","1.000","30739.529","1.053","0.622","768.637","0.046","0.046","","","","","","","","","","","21832150.000","341.955","34.100","10.069","5.331","11669.077","0.700","197.093","10.680","0.300","27.000","","","76.980"
"PER","South America","Peru","11/1/2022 12:00:00 AM","4157569.000","645.000","680.714","217013.000","1.000","19.429","122103.357","18.943","19.992","6373.440","0.029","0.571","","","","","","","","","","","34049588.000","25.129","29.100","7.151","4.455","12236.706","3.500","85.755","5.950","4.800","","","","76.740"
"KGZ","Asia","Kyrgyzstan","11/1/2022 12:00:00 AM","206452.000","0.000","7.571","2991.000","0.000","0.000","31136.148","0.000","1.142","451.089","0.000","0.000","","","","","","","","","","","6630621.000","32.333","26.300","4.489","2.882","3393.474","1.400","436.362","7.110","3.600","50.500","89.220","","71.450"
"SAU","Asia","Saudi Arabia","11/1/2022 12:00:00 AM","822718.000","259.000","256.857","9409.000","2.000","1.714","22596.665","7.114","7.055","258.426","0.055","0.047","","","","","","","","","","","36408824.000","15.322","31.900","3.295","1.845","49045.411","","259.538","17.720","1.800","25.400","","","75.130"
