"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"MDV","Asia","Maldives","5/1/2021 12:00:00 AM","30237.000","402.000","373.714","73.000","0.000","0.286","55938.299","743.698","691.370","135.050","0.000","0.529","","","","","","","","","","","540542.000","1454.433","30.600","4.120","2.875","15183.616","","164.905","9.190","2.100","55.000","95.803","","78.920"
"LBR","Africa","Liberia","5/1/2021 12:00:00 AM","2099.000","0.000","0.286","85.000","0.000","0.000","415.013","0.000","0.056","16.806","0.000","0.000","","","","","","","","","","","5057677.000","49.127","19.200","3.057","1.756","752.788","38.600","272.509","2.420","1.500","18.100","1.188","","64.100"
"MOZ","Africa","Mozambique","5/1/2021 12:00:00 AM","69965.000","48.000","46.000","814.000","0.000","1.000","2238.491","1.536","1.472","26.043","0.000","0.032","","","","","","","","","","","31255435.000","37.728","17.700","3.158","1.870","1136.103","62.900","329.942","3.300","5.100","29.100","12.227","","60.850"
"AZE","Asia","Azerbaijan","5/1/2021 12:00:00 AM","320322.000","1213.000","1265.286","4538.000","21.000","28.000","31592.511","119.635","124.792","447.571","2.071","2.762","","","","","","","","","","","10139175.000","119.309","32.400","6.018","3.871","15847.419","","559.812","7.110","0.300","42.500","83.241","","73.000"
"BWA","Africa","Botswana","5/1/2021 12:00:00 AM","46934.000","0.000","154.143","712.000","0.000","3.000","19958.114","0.000","65.547","302.769","0.000","1.276","","","","","","","","","","","2351625.000","4.044","25.800","3.941","2.242","15807.374","","237.372","4.810","5.700","34.400","","","69.590"
"KAZ","Asia","Kazakhstan","5/1/2021 12:00:00 AM","378441.000","2902.000","2801.000","3341.000","7.000","4.286","20154.812","154.553","149.174","177.933","0.373","0.228","","","","","","","","","","","18776707.000","6.681","30.600","6.991","4.625","24055.588","0.100","466.792","7.110","7.000","43.100","98.999","","73.600"
"BLR","Europe","Belarus","5/1/2021 12:00:00 AM","359982.000","1244.000","1186.857","2552.000","10.000","9.857","38096.071","131.650","125.602","270.072","1.058","1.043","","","","","","","","","","","9449321.000","46.858","40.300","14.799","9.788","17167.967","","443.129","5.180","10.500","46.100","","","74.790"
"SMR","Europe","San Marino","5/1/2021 12:00:00 AM","5066.000","0.000","2.714","90.000","0.000","0.143","149272.202","0.000","79.978","2651.895","0.000","4.209","","","","","","","","","","","33938.000","556.667","","","","56861.470","","","5.640","","","","","84.970"
"SSD","Africa","South Sudan","5/1/2021 12:00:00 AM","10583.000","0.000","9.714","115.000","0.000","0.143","945.440","0.000","0.868","10.274","0.000","0.013","","","","","","","","","","","11193729.000","","19.200","3.441","2.032","1569.888","","280.775","10.430","","","","","57.850"
"GRC","Europe","Greece","5/1/2021 12:00:00 AM","346422.000","1389.000","2098.857","10453.000","72.000","71.857","33236.126","133.262","201.367","1002.873","6.908","6.894","","","","","","","","","","","10423056.000","83.479","45.300","20.396","14.524","24574.382","1.500","175.695","4.550","35.300","52.000","","","82.240"
"BEL","Europe","Belgium","5/1/2021 12:00:00 AM","993434.000","3205.000","3056.143","24258.000","28.000","38.286","85717.594","276.541","263.697","2093.081","2.416","3.303","","","","","","","","","","","11589616.000","375.564","41.800","18.571","12.849","42658.576","0.200","114.898","4.290","25.100","31.400","","","81.630"
"TUN","Africa","Tunisia","5/1/2021 12:00:00 AM","310734.000","1615.000","1737.429","10808.000","86.000","82.429","26291.907","136.649","147.008","914.489","7.277","6.974","","","","","","","","","","","11818618.000","74.228","32.700","8.001","5.075","10849.297","2.000","318.991","8.520","1.100","65.800","78.687","","76.700"
"BOL","South America","Bolivia","5/1/2021 12:00:00 AM","306527.000","2795.000","1334.571","13009.000","58.000","28.143","26259.422","239.441","114.329","1114.449","4.969","2.411","","","","","","","","","","27.780","11673029.000","10.202","25.400","6.704","4.393","6885.829","7.100","204.299","6.890","","","25.383","","71.510"
"CHE","Europe","Switzerland","5/1/2021 12:00:00 AM","659974.000","0.000","1923.571","10633.000","1.000","5.571","76256.861","0.000","222.260","1228.593","0.116","0.644","","","","","","","","","","","8654618.000","214.243","43.100","18.436","12.644","57410.166","","99.739","5.590","22.600","28.900","","","83.780"
"AUT","Europe","Austria","5/1/2021 12:00:00 AM","620485.000","1615.000","1933.000","10233.000","28.000","23.286","68893.787","179.317","214.625","1136.192","3.109","2.585","","","","","","","","","","","9006400.000","106.749","44.400","19.202","13.748","45436.686","0.700","145.183","6.350","28.400","30.900","","","81.540"
"GMB","Africa","Gambia","5/1/2021 12:00:00 AM","5898.000","0.000","5.857","174.000","0.000","0.143","2440.554","0.000","2.424","72.000","0.000","0.059","","","","","","","","","","","2416664.000","207.566","17.500","2.339","1.417","1561.767","10.100","331.430","1.910","0.700","31.200","7.876","","62.050"
