"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"CAN","North America","Canada","2021-04-20","1146817.0","7226.0","8701.714","23698.0","49.0","46.857","30385.571","191.457","230.557","627.892","1.298","1.242","","","","","","","","","","","37742157.0","4.037","41.4","16.984","10.797","44017.591","0.5","105.599","7.37","12.0","16.6","","","82.43"
"CAN","North America","Canada","2021-04-21","1155053.0","8236.0","8593.429","23761.0","63.0","47.571","30603.789","218.218","227.688","629.561","1.669","1.26","","","","","","","","","","","37742157.0","4.037","41.4","16.984","10.797","44017.591","0.5","105.599","7.37","12.0","16.6","","","82.43"
"CPV","Africa","Cape Verde","2021-04-19","20627.0","161.0","216.714","193.0","1.0","1.286","37099.722","289.575","389.782","347.13","1.799","2.312","","","","","","","","","","","555988.0","135.58","25.7","4.46","3.437","6222.554","","182.219","2.42","2.1","16.5","","","72.98"
"CPV","Africa","Cape Verde","2021-04-20","20781.0","154.0","221.429","194.0","1.0","1.0","37376.706","276.984","398.261","348.928","1.799","1.799","","","","","","","","","","","555988.0","135.58","25.7","4.46","3.437","6222.554","","182.219","2.42","2.1","16.5","","","72.98"
"CPV","Africa","Cape Verde","2021-04-21","21179.0","398.0","236.286","198.0","4.0","1.429","38092.549","715.843","424.983","356.123","7.194","2.569","","","","","","","","","","","555988.0","135.58","25.7","4.46","3.437","6222.554","","182.219","2.42","2.1","16.5","","","72.98"
"CYM","North America","Cayman Islands","2021-04-19","","","","","","","","","","","","","","","","","","","","","","","65720.0","256.496","","","","49903.029","","","13.22","","","","","83.92"
"CYM","North America","Cayman Islands","2021-04-20","","","","","","","","","","","","","","","","","","","","","","","65720.0","256.496","","","","49903.029","","","13.22","","","","","83.92"
"CYM","North America","Cayman Islands","2021-04-21","","","","","","","","","","","","","","","","","","","","","","","65720.0","256.496","","","","49903.029","","","13.22","","","","","83.92"
"CAF","Africa","Central African Republic","2021-04-19","5787.0","0.0","42.286","75.0","0.0","0.143","1198.195","0.0","8.755","15.529","0.0","0.03","","","","","","","","","","12.96","4829764.0","7.479","18.3","3.655","2.251","661.24","","435.727","6.1","","","16.603","","53.28"
"CAF","Africa","Central African Republic","2021-04-20","5929.0","142.0","35.286","79.0","4.0","0.571","1227.596","29.401","7.306","16.357","0.828","0.118","","","","","","","","","","","4829764.0","7.479","18.3","3.655","2.251","661.24","","435.727","6.1","","","16.603","","53.28"
"COG","Africa","Congo","2021-04-21","10084.0","0.0","0.0","139.0","0.0","0.0","1827.443","0.0","0.0","25.19","0.0","0.0","","","","","","","","","","","5518092.0","15.405","19.0","3.402","2.063","4881.406","37.0","344.094","7.2","1.7","52.3","47.964","","64.57"
"OWID_EUR","","Europe","2021-04-19","43204329.0","110364.0","168918.0","980886.0","3107.0","3468.857","57707.332","147.411","225.621","1310.154","4.15","4.633","","","","","","","","","","","748680069.0","","","","","","","","","","","","",""
"OWID_EUR","","Europe","2021-04-20","43381564.0","177235.0","166638.286","984657.0","3771.0","3427.429","57944.062","236.73","222.576","1315.191","5.037","4.578","","","","","","","","","","","748680069.0","","","","","","","","","","","","",""
"CAF","Africa","Central African Republic","2021-04-21","6175.0","246.0","70.429","85.0","6.0","1.429","1278.53","50.934","14.582","17.599","1.242","0.296","","","","","","","","","","","4829764.0","7.479","18.3","3.655","2.251","661.24","","435.727","6.1","","","16.603","","53.28"
"TCD","Africa","Chad","2021-04-19","4708.0","2.0","9.571","169.0","0.0","0.286","286.621","0.122","0.583","10.289","0.0","0.017","","","","","","","","","","","16425859.0","11.833","16.7","2.486","1.446","1768.153","38.4","280.995","6.1","","","5.818","","54.24"
"TCD","Africa","Chad","2021-04-20","4723.0","15.0","10.143","169.0","0.0","0.286","287.534","0.913","0.617","10.289","0.0","0.017","","","","","","","","","","","16425859.0","11.833","16.7","2.486","1.446","1768.153","38.4","280.995","6.1","","","5.818","","54.24"
"TCD","Africa","Chad","2021-04-21","4731.0","8.0","9.857","169.0","0.0","0.286","288.021","0.487","0.6","10.289","0.0","0.017","","","","","","","","","","","16425859.0","11.833","16.7","2.486","1.446","1768.153","38.4","280.995","6.1","","","5.818","","54.24"
"CHL","South America","Chile","2021-04-19","1131340.0","6622.0","6917.143","25277.0","100.0","113.429","59182.236","346.408","361.847","1322.281","5.231","5.934","72839.0","12426663.0","650.059","3.81","65063.0","3.404","","","tests performed","","19116209.0","24.282","35.4","11.087","6.938","22767.037","1.3","127.993","8.46","34.2","41.5","","","80.18"
"CHL","South America","Chile","2021-04-20","1136189.0","4849.0","6782.714","25317.0","40.0","114.143","59435.895","253.659","354.815","1324.373","2.092","5.971","","","","","","","","","","","19116209.0","24.282","35.4","11.087","6.938","22767.037","1.3","127.993","8.46","34.2","41.5","","","80.18"
"CHL","South America","Chile","2021-04-21","1141403.0","5214.0","6733.714","25353.0","36.0","115.0","59708.648","272.753","352.252","1326.257","1.883","6.016","","","","","","","","","","","19116209.0","24.282","35.4","11.087","6.938","22767.037","1.3","127.993","8.46","34.2","41.5","","","80.18"
"CHN","Asia","China","2021-04-19","102264.0","22.0","26.571","4845.0","0.0","0.286","71.05","0.015","0.018","3.366","0.0","0.0","","","","","","","","","","78.24","1439323774.0","147.674","38.7","10.641","5.929","15308.712","0.7","261.899","9.74","1.9","48.4","","","76.91"
"CHN","Asia","China","2021-04-20","102293.0","29.0","27.143","4845.0","0.0","0.143","71.07","0.02","0.019","3.366","0.0","0.0","","","","","","","","","","","1439323774.0","147.674","38.7","10.641","5.929","15308.712","0.7","261.899","9.74","1.9","48.4","","","76.91"
